@relation occupancy_limited.data

@attribute 23.18 numeric
@attribute 27.272 numeric
@attribute 426 numeric
@attribute 721.25 numeric
@attribute 0.0047929882 numeric
@attribute 1 numeric

@data
23.15,27.2675,429.5,714,0.004783,1
23.15,27.245,426,713.5,0.004779,1
23.15,27.2,426,708.25,0.004772,1
23.1,27.2,426,704.5,0.004757,1
23.1,27.2,419,701,0.004757,1
23.1,27.2,419,701.666667,0.004757,1
23.1,27.2,419,699,0.004757,1
23.1,27.2,419,689.333333,0.004757,1
23.075,27.175,419,688,0.004745,1
23.075,27.15,419,690.25,0.004741,1
23.1,27.1,419,691,0.004739,1
23.1,27.166667,419,683.5,0.004751,1
23.05,27.15,419,687.5,0.004734,1
23,27.125,419,686,0.004715,1
23,27.125,418.5,680.5,0.004715,1
23,27.2,0,681.5,0.004728,0
22.945,27.29,0,685,0.004728,0
22.945,27.39,0,685,0.004745,0
22.89,27.39,0,689,0.00473,0
22.89,27.39,0,689.5,0.00473,0
22.89,27.39,0,689,0.00473,0
22.89,27.445,0,691,0.004739,0
22.89,27.5,0,688,0.004749,0
22.89,27.5,0,689.5,0.004749,0
22.79,27.445,0,689,0.00471,0
22.79,27.5,0,685.666667,0.00472,0
22.79,27.5,0,687,0.00472,0
22.79,27.5,0,688,0.00472,0
22.745,27.5,0,670,0.004707,0
22.7,27.463333,0,668.666667,0.004688,0
22.7,27.5,0,670,0.004694,0
22.7,27.5,0,667,0.004694,0
22.666667,27.426667,0,664.5,0.004672,0
22.7,27.6,0,670,0.004711,0
22.6,27.426667,0,670.333333,0.004653,0
22.6,27.39,0,672,0.004646,0
22.6,27.356667,0,658,0.004641,0
22.6,27.445,0,660.5,0.004656,0
22.6,27.426667,0,658,0.004653,0
22.6,27.445,0,655,0.004656,0
22.6,27.445,0,654.25,0.004656,0
22.6,27.39,0,648,0.004646,0
22.5,27.323333,0,648.666667,0.004607,0
22.5,27.445,0,646,0.004627,0
22.5,27.5,0,646,0.004637,0
22.5,27.445,0,641.5,0.004627,0
22.39,27.29,0,639,0.00457,0
22.5,27.5,0,640,0.004637,0
22.39,27.34,0,630.5,0.004579,0
22.39,27.356667,0,629.333333,0.004581,0
22.39,27.5,0,632,0.004606,0
22.39,27.5,0,636.5,0.004606,0
22.39,27.5,0,627.5,0.004606,0
22.39,27.39,0,626,0.004587,0
22.39,27.5,0,625.5,0.004606,0
22.34,27.39,0,623.5,0.004573,0
22.39,27.463333,0,624.666667,0.004599,0
22.39,27.39,0,622,0.004587,0
22.29,27.39,0,621,0.004559,0
22.34,27.39,0,626.5,0.004573,0
22.29,27.39,0,622,0.004559,0
22.39,27.39,0,620,0.004587,0
22.29,27.39,0,621.5,0.004559,0
22.29,27.356667,0,616.333333,0.004553,0
22.29,27.34,0,609,0.004551,0
22.29,27.39,0,614,0.004559,0
22.29,27.34,0,613.5,0.004551,0
22.29,27.34,0,611,0.004551,0
22.29,27.39,0,612,0.004559,0
22.29,27.29,0,608,0.004542,0
22.29,27.29,0,605.5,0.004542,0
22.2675,27.315,0,608.5,0.00454,0
22.2,27.29,0,608.5,0.004517,0
22.245,27.29,0,602.5,0.00453,0
22.2,27.29,0,598,0.004517,0
22.2,27.29,0,595,0.004517,0
22.2,27.29,0,591,0.004517,0
22.245,27.245,0,591,0.004522,0
22.2,27.2,0,595,0.004502,0
22.2,27.29,0,594.333333,0.004517,0
22.2,27.29,0,593.5,0.004517,0
22.2,27.29,0,592,0.004517,0
22.15,27.245,0,586.5,0.004496,0
22.2,27.2,0,586,0.004502,0
22.15,27.245,0,586,0.004496,0
22.2,27.245,0,584.5,0.00451,0
22.1,27.245,0,584.5,0.004482,0
22.1,27.2,0,585.5,0.004475,0
22.133333,27.2,0,584.666667,0.004484,0
22.2,27.2,0,577,0.004502,0
22.1,27.2,0,580,0.004475,0
22.125,27.2,0,582,0.004482,0
22.2,27.2,0,580,0.004502,0
22.1,27.15,0,578,0.004466,0
22.1,27.2,0,576.5,0.004475,0
22.1,27.2,0,580,0.004475,0
22.1,27.2,0,572.5,0.004475,0
22.1,27.2,0,567,0.004475,0
22.1,27.2,0,568,0.004475,0
22.1,27.2,0,574.5,0.004475,0
22.1,27.2,0,564.333333,0.004475,0
22.1,27.2,0,563,0.004475,0
22.1,27.15,0,564.5,0.004466,0
22.066667,27.166667,0,566.333333,0.00446,0
22.1,27.1,0,562,0.004458,0
22,27.1,0,565.5,0.004431,0
22,27.1,0,570,0.004431,0
22.05,27.15,0,562,0.004453,0
22,27.1,0,560,0.004431,0
22,27.1,0,558,0.004431,0
22,27.1,0,556,0.004431,0
22,27.1,0,557,0.004431,0
21.9175,27.1,0,556.5,0.004408,0
21.945,27.1,0,557.5,0.004416,0
21.926667,27.1,0,555,0.004411,0
21.89,27.1,0,555,0.004401,0
21.89,27.1,0,553,0.004401,0
21.89,27.1,0,549.5,0.004401,0
21.89,27.1,0,548.5,0.004401,0
21.89,27.1,0,551.5,0.004401,0
21.89,27.1,0,548.5,0.004401,0
21.89,27.1,0,548,0.004401,0
21.89,27.1,0,547.5,0.004401,0
21.89,27.1,0,553,0.004401,0
21.84,27.1,0,547.5,0.004388,0
21.856667,27.1,0,548.666667,0.004392,0
21.79,27.1,0,540,0.004374,0
21.79,27.1,0,538,0.004374,0
21.79,27.1,0,542,0.004374,0
21.79,27.1,0,542,0.004374,0
21.79,27.1,0,538,0.004374,0
21.79,27.1,0,537.666667,0.004374,0
21.79,27.1,0,537.5,0.004374,0
21.79,27.1,0,536,0.004374,0
21.745,27.1,0,534.5,0.004362,0
21.7,27.1,0,532.5,0.00435,0
21.76,27.1,0,530,0.004366,0
21.745,27.05,0,529.5,0.004354,0
21.79,27.05,0,531,0.004366,0
21.73,27,0,533.333333,0.004342,0
21.745,27,0,531,0.004346,0
21.745,27,0,529,0.004346,0
21.745,27,0,528.5,0.004346,0
21.7,27,0,525,0.004334,0
21.7,27,0,528.5,0.004334,0
21.7,27,0,530.5,0.004334,0
21.7,26.89,0,528,0.004316,0
21.7,26.89,0,526,0.004316,0
21.7,26.89,0,530,0.004316,0
21.7,26.89,0,533.333333,0.004316,0
21.7,26.89,0,529,0.004316,0
21.7,26.89,0,528,0.004316,0
21.7,26.89,0,526,0.004316,0
21.7,26.89,0,526,0.004316,0
21.7,26.79,0,521,0.0043,0
21.7,26.79,0,518,0.0043,0
21.7,26.79,0,515.5,0.0043,0
21.7,26.79,0,520,0.0043,0
21.7,26.7675,0,523.5,0.004296,0
21.7,26.79,0,525.5,0.0043,0
21.7,26.79,0,525.5,0.0043,0
21.7,26.79,0,514,0.0043,0
21.7,26.7,0,518,0.004285,0
21.7,26.7,0,518,0.004285,0
21.7,26.7,0,520,0.004285,0
21.6,26.7,0,521,0.004259,0
21.6,26.6,0,518,0.004243,0
21.6,26.65,0,517,0.004251,0
21.6,26.6,0,511.5,0.004243,0
21.65,26.65,0,514,0.004264,0
21.6,26.55,0,515.5,0.004235,0
21.6,26.5,0,517,0.004227,0
21.6,26.5,0,515,0.004227,0
21.6,26.5,0,512,0.004227,0
21.6,26.5,0,515,0.004227,0
21.65,26.55,0,511,0.004248,0
21.6,26.5,0,514,0.004227,0
21.6,26.445,0,508,0.004218,0
21.6,26.4725,0,509.75,0.004222,0
21.6,26.445,0,508.75,0.004218,0
21.6,26.445,0,508.5,0.004218,0
21.6,26.39,0,507,0.004209,0
21.6,26.39,0,507,0.004209,0
21.6,26.39,0,503.5,0.004209,0
21.6,26.39,0,504,0.004209,0
21.6,26.39,0,504,0.004209,0
21.575,26.315,0,500.5,0.004191,0
21.6,26.29,0,500,0.004193,0
21.6,26.29,0,503.5,0.004193,0
21.55,26.245,0,503,0.004173,0
21.55,26.245,0,502.5,0.004173,0
21.5,26.2,0,502,0.004153,0
21.566667,26.2,0,502,0.00417,0
21.5,26.2,0,502.5,0.004153,0
21.5,26.2,0,497,0.004153,0
21.5,26.15,0,501.5,0.004145,0
21.5,26.15,0,504,0.004145,0
21.5,26.1,0,501,0.004137,0
21.5,26.1,0,493.75,0.004137,0
21.5,26.1,0,500,0.004137,0
21.5,26.1,0,504.5,0.004137,0
21.5,26.05,0,504,0.004129,0
21.5,26.1,0,501,0.004137,0
21.5,26,0,499,0.004121,0
21.5,26,0,502,0.004121,0
21.5,26,0,503.5,0.004121,0
21.5,26,0,500.666667,0.004121,0
21.5,26,0,493,0.004121,0
21.5,26,0,492.5,0.004121,0
21.5,26,0,493,0.004121,0
21.5,25.89,0,495.5,0.004103,0
21.5,26,0,492.666667,0.004121,0
21.5,26,0,490,0.004121,0
21.5,25.926667,0,493,0.004109,0
21.5,25.89,0,494.666667,0.004103,0
21.5,25.89,0,496,0.004103,0
21.5,25.89,0,491,0.004103,0
21.5,25.84,0,490.5,0.004096,0
21.5,25.84,0,490,0.004096,0
21.5,25.89,0,491,0.004103,0
21.5,25.89,0,491.666667,0.004103,0
21.5,25.89,0,493.5,0.004103,0
21.4725,25.865,0,493.75,0.004093,0
21.5,25.84,0,490,0.004096,0
21.5,25.79,0,488,0.004088,0
21.5,25.79,0,490,0.004088,0
21.5,25.79,0,487,0.004088,0
21.445,25.745,0,492.5,0.004067,0
21.445,25.745,0,493.5,0.004067,0
21.463333,25.76,0,493.333333,0.004074,0
21.445,25.745,0,488,0.004067,0
21.5,25.79,0,487.5,0.004088,0
21.426667,25.73,0,485.333333,0.00406,0
21.39,25.7,0,484,0.004046,0
21.39,25.7,0,489,0.004046,0
21.445,25.745,0,488,0.004067,0
21.5,25.79,0,493,0.004088,0
21.39,25.7,0,491,0.004046,0
21.445,25.745,0,488,0.004067,0
21.445,25.745,0,487.25,0.004067,0
21.39,25.7,0,489,0.004046,0
21.5,25.79,0,489,0.004088,0
21.39,25.7,0,486,0.004046,0
21.426667,25.73,0,484.666667,0.00406,0
21.39,25.7,0,485,0.004046,0
21.39,25.7,0,487,0.004046,0
21.39,25.7,0,492,0.004046,0
21.39,25.7,0,490.666667,0.004046,0
21.39,25.7,0,488,0.004046,0
21.39,25.7,0,485.5,0.004046,0
21.39,25.7,0,486,0.004046,0
21.39,25.7,0,485.5,0.004046,0
21.39,25.7,0,486,0.004046,0
21.39,25.7,0,480,0.004046,0
21.39,25.7,0,481,0.004046,0
21.39,25.7,0,481.666667,0.004046,0
21.39,25.7,0,485.5,0.004046,0
21.39,25.7,0,485,0.004046,0
21.39,25.7,0,473,0.004046,0
21.39,25.7,0,475,0.004046,0
21.39,25.7,0,486,0.004046,0
21.39,25.7,0,481.5,0.004046,0
21.39,25.7,0,483,0.004046,0
21.39,25.7,0,479,0.004046,0
21.39,25.7,0,479,0.004046,0
21.39,25.7,0,479,0.004046,0
21.34,25.7,0,479,0.004033,0
21.39,25.7,0,479,0.004046,0
21.39,25.7,0,477,0.004046,0
21.39,25.7,0,477.5,0.004046,0
21.29,25.7,0,477.5,0.004021,0
21.34,25.7,0,480,0.004033,0
21.29,25.7,0,480,0.004021,0
21.34,25.7,0,482,0.004033,0
21.323333,25.7,0,480.333333,0.004029,0
21.34,25.7,0,477.5,0.004033,0
21.29,25.7,0,476,0.004021,0
21.39,25.7,0,479,0.004046,0
21.39,25.7,0,471,0.004046,0
21.29,25.7,0,474,0.004021,0
21.29,25.7,0,477.5,0.004021,0
21.34,25.7,0,476,0.004033,0
21.29,25.7,0,474.25,0.004021,0
21.39,25.7,0,475,0.004046,0
21.29,25.7,0,476.5,0.004021,0
21.34,25.7,0,474.5,0.004033,0
21.29,25.7,0,478,0.004021,0
21.29,25.7,0,475.333333,0.004021,0
21.29,25.7,0,477,0.004021,0
21.29,25.7,0,475.5,0.004021,0
21.29,25.7,0,477.5,0.004021,0
21.29,25.7,0,477.5,0.004021,0
21.29,25.7,0,478,0.004021,0
21.29,25.7,0,473.5,0.004021,0
21.29,25.7,0,472.5,0.004021,0
21.29,25.7,0,472,0.004021,0
21.29,25.7,0,469.5,0.004021,0
21.29,25.7,0,466.666667,0.004021,0
21.29,25.7,0,467,0.004021,0
21.29,25.7,0,469.5,0.004021,0
21.2,25.6,0,469,0.003983,0
